age,qx
0,0.00024876905184667564
1,0.0002515907457389943
2,0.00025468895645974765
3,0.0002580907807724353
4,0.00026182597053514556
5,0.00026592719282092503
6,0.00027043031551232666
7,0.00027537472086502923
8,0.00028080364977622896
9,0.000286764579764065
10,0.0002933096399526658
11,0.0003004960666849188
12,0.00030838670373500854
13,0.00031705055148067984
14,0.0003265633698220638
15,0.0003370083400969781
16,0.0003484767917592002
17,0.0003610690001421002
18,0.00037489506224885893
19,0.00039007585818429114
20,0.00040674410658170235
21,0.0004250455231915584
22,0.000445140092685703
23,0.0004672034647047463
24,0.00049142848624395
25,0.0005180268836415536
26,0.000547231108713464
27,0.0005792963649774441
28,0.0006145028314477052
29,0.0006531581031529177
30,0.0006955998693720655
31,0.0007421988525825318
32,0.0007933620333124836
33,0.0008495361884809371
34,0.0009112117734242364
35,0.0009789271806617261
36,0.001053273411557476
37,0.0011348992004315273
38,0.0012245166343529679
39,0.0013229073158661508
40,0.0014309291202533325
41,0.0015495236036707771
42,0.0016797241236184979
43,0.0018226647387525885
44,0.001979589961042638
45,0.0021518654397417736
46,0.002340989663593751
47,0.0025486067751743224
48,0.00277652059925948
49,0.0030267099956575727
50,0.003301345656020027
51,0.0036028084737671495
52,0.0039337096264058236
53,0.004296912520137419
54,0.00469555675771105
55,0.005133084301884083
56,0.005613268018498374
57,0.006140242794919759
58,0.006718539441217697
59,0.007353121592725054
60,0.00804942584318824
61,0.008813405347169234
62,0.009651577138177325
63,0.010571073414529453
64,0.011579697047360837
65,0.012685981563536952
66,0.013899255849242897
67,0.01522971380627891
68,0.016688489170779697
69,0.01828773567107611
70,0.020040712655156834
71,0.02196187625561785
72,0.024066976077498414
73,0.02637315728773315
74,0.028899067849119553
75,0.031664970470904
76,0.03469285863563143
77,0.038006575800109244
78,0.04163193654849595
79,0.04559684808786413
80,0.049931430010306865
81,0.0546681296889685
82,0.05984183001577803
83,0.06548994541316189
84,0.07165250114776389
85,0.07837218992918571
86,0.08569439858098293
87,0.09366719621813102
88,0.10234127385405967
89,0.11176982369870547
90,0.12200834461637744
91,0.1331143583246459
92,0.14514701899118676
93,0.15816659701182045
94,0.17223381605417565
95,0.18740902109807234
96,0.20375115442256475
97,0.22131651657367402
98,0.2401572906646885
99,0.26031981136314275
100,0.28184256513933836
101,0.30475391640102845
102,0.3290695656839502
103,0.35478976179048516
104,0.3818963103007992
105,0.4103494467034142
106,0.4400846736931998
107,0.471009698669285
108,0.5030016481180082
109,0.5359047783736663
110,0.5695289439075757
111,0.6036491199395757
112,0.6380062992024282
113,0.6723100848277812
114,0.7062432729412229
115,0.739468649559667
116,0.7716381077083267
117,0.802404016502451
118,0.8314325446299483
119,0.8584183660959442
120,1.0
